Frame,Total Velocity (cm/s),Predicted Velocity (cm/s),Error(cm/s)
38.0,50.72393989824557,52.605722357889086,1.8817824596435173
39.0,29.299026760326623,30.582506549817587,1.2834797894909649
40.0,9.173804029754573,7.97411233200063,1.1996916977539422
41.0,-11.498179351943794,-14.802511839186797,3.3043324872430038
42.0,-25.074271503244617,-37.31170027663813,12.23742877339351
43.0,-49.24117654680524,-59.101450798434094,9.860274251628852
44.0,-69.2104230714476,-79.70342472784283,10.493001656395236
45.0,-87.02267823378386,-98.64405668661733,11.621378452833468
46.0,-95.68236665547204,-115.46621175689828,19.783845101426238
47.0,-103.2693592586332,-129.61068694512255,26.34132768648935
48.0,-114.32059024032388,-140.59894950503914,26.278359264715263
49.0,-129.00565960076744,-148.0626107286929,19.05695112792546
50.0,-132.96411288799845,-151.74342594642445,18.779313058426
51.0,-125.79647783879149,-151.49574099695084,25.699263158159354
52.0,-123.00884197899848,-147.3472414095808,24.338399430582314
53.0,-114.06281583893873,-139.43942703124634,25.376611192307607
54.0,-107.90344398596812,-128.01692659534376,20.113482609375637
55.0,-96.55979174136958,-113.44521432709662,16.885422585727042
56.0,-83.3010742655754,-96.21060994355565,12.909535677980259
57.0,-60.991280699583555,-76.92027865359896,15.9289979540154
58.0,-45.72724212219913,-56.170958399030035,10.443716276830905
59.0,-35.26809609015607,-34.31110911941687,0.9569869707392016
60.0,-8.699510789009384,-11.771591001949533,3.0720802129401488
61.0,15.124149641745937,11.006987974671324,4.117161667074614
62.0,29.33778413805171,33.57783086295367,4.240046724901958
63.0,43.76212998792531,55.487951746614115,11.725821758688802
64.0,64.52959830379508,76.30148158092278,11.7718832771277
65.0,78.85431246843375,95.5550461033713,16.70073363493755
66.0,90.42971123975238,112.70787656463227,22.278165324879893
67.0,111.5299382033032,127.26641922218272,15.736481018879516
68.0,118.57464598254268,138.78848211015892,20.213836127616247
69.0,116.64213985951811,146.8832350393564,30.241095179838297
70.0,126.0424192522681,151.2335162969876,25.1910970447195
71.0,126.52944686428567,151.67892700209623,25.149480137810556
72.0,123.8249075343804,148.17079295415903,24.345885419778625
73.0,125.76306608283559,140.8196097196148,15.056543636779196
74.0,106.5320835728128,129.89959397743712,23.367510404624326
75.0,83.84687229333785,115.84868351913464,32.001811225796786
76.0,85.3247974488065,99.19886178220179,13.874064333395282
77.0,62.81351653037988,80.38235249315964,17.568835962779765
78.0,43.274726872386346,59.86836658589963,16.593639713513284
79.0,33.759374864772,38.130846064230106,4.371471199458107
80.0,5.321412402686162,15.646021403801353,10.32460900111519
81.0,-11.435261345596905,-7.1076431916021585,4.327618153994746
82.0,-20.75711476323328,-29.71418606947139,8.95707130623811
83.0,-42.200661081981885,-51.76050838791606,9.559847305934177
84.0,-62.26468209976736,-72.77705883326124,10.512376733493873
85.0,-73.3041190194116,-92.28887938456788,18.984760365156276
86.0,-82.198826073158,-109.81560531363274,27.61677924047474
87.0,-96.96521284647372,-124.87146518498858,27.90625233851486
88.0,-110.10203127150376,-136.9691259116031,26.86709464009934
89.0,-115.60208872295993,-145.70693582882413,30.104847105864195
90.0,-114.90977008453615,-150.7295738446901,35.819803760153945
91.0,-109.85865792864058,-151.8184500883205,41.95979215967992
92.0,-114.2820874067983,-148.93130591165595,34.64921850485766
93.0,-111.62434250913257,-142.20221388945833,30.57787138032576
94.0,-98.15397554819279,-131.92843542094414,33.77445987275135
95.0,-83.07384849020809,-118.46964857602731,35.39580008581922
96.0,-67.2022551026769,-102.24979409834937,35.04753899567247
97.0,-58.090134066551634,-83.73462030062872,25.644486234077085
98.0,-45.55296267974302,-63.42659965417457,17.873636974431548
99.0,-29.892008179250706,-41.864928788886814,11.972920609636109
100.0,-11.436838514261071,-19.543500954240674,8.106662439979603
101.0,14.380800450671614,3.1558050351223064,11.224995415549309
102.0,29.840675837818196,25.81273324837402,4.0279425894441765
103.0,41.675970793153425,47.98795519410751,6.311984400954088
104.0,57.27747842870395,69.22309994285851,11.94562151415456
105.0,73.06728104450197,89.0407541271053,15.973473082603334
106.0,89.6245203509864,106.95356889396757,17.32904854298117
107.0,96.34736256018441,122.51048477311174,26.163122212927334
108.0,104.25097453549708,135.16510641336797,30.914131877870886
109.0,111.6346833326627,144.46174006151915,32.82705672885645
