Frame,X Velocity(cm/s),Y Velocity(cm/s),Total Velocity(cm/s),Predicted Velocity(cm/s)
29,132.76061784458346,-30.19876714919705,136.1519268604266,149.13021503060844
30,128.77210142865164,-13.674913426051564,129.49616737016177,152.13355194125276
31,136.7491342605153,11.395761188376207,137.2231361471634,151.172684839692
32,136.36927555423603,27.919614911521872,139.19800362072306,146.30799310957843
33,122.69436212818428,31.52827262117435,126.6804581319357,137.7478269899192
34,104.65107357992187,40.8348109250149,112.33578674986853,125.79728559158023
35,88.69700791619557,42.73410445641095,98.4548774666705,110.83145043707135
36,74.64223578386446,40.834810925014885,85.08199072715524,93.29292453347198
37,55.45937111676438,42.734104456410925,70.01389525200294,73.69181285797546
38,39.885164159316844,31.338343268034702,50.72393989824557,52.605722357889086
39,23.931098495590334,16.90371242942478,29.299026760326623,30.582506549817587
40,8.166962185003115,4.178445769071363,9.173804029754573,7.97411233200063
41,-9.876326363259512,-5.88780994732776,-11.498179351943794,-14.802511839186797
42,-20.892228845356264,-13.86484277919114,-25.074271503244617,-37.31170027663813
43,-38.745588040479106,-30.388696502336607,-49.24117654680524,-59.101450798434094
44,-55.45937111676431,-41.40459898443377,-69.2104230714476,-79.70342472784283
45,-76.54152931526062,-41.404598984433825,-87.02267823378386,-98.64405668661733
46,-86.79771438479938,-40.26502286559612,-95.68236665547204,-115.46621175689828
47,-96.10425268863985,-37.79594127478122,-103.2693592586332,-129.61068694512255
48,-111.8683889992272,-23.5512397893109,-114.32059024032388,-140.59894950503914
49,-126.87280789725558,-23.361310436171216,-129.00565960076744,-148.0626107286929
50,-131.43111237260624,-20.132511432798033,-132.96411288799845,-151.74342594642445
51,-125.5433024252785,7.9770328318631485,-125.79647783879149,-151.49574099695084
52,-120.22528053736944,26.020321380125864,-123.00884197899848,-147.3472414095808
53,-110.34895417411009,28.86926167722,-114.06281583893873,-139.43942703124634
54,-103.70142681422394,29.818908442917845,-107.90344398596812,-128.01692659534376
55,-87.9372905036368,39.88516415931686,-96.55979174136958,-113.44521432709662
56,-72.1731541930496,41.59452833757338,-83.3010742655754,-96.21060994355565
57,-52.99028952594966,30.19876714919705,-60.991280699583555,-76.92027865359896
58,-38.36572933420022,24.880745261288123,-45.72724212219913,-56.170958399030035
59,-27.539756205242472,22.031804964194166,-35.26809609015607,-34.31110911941687
60,-5.128092534769278,7.027386066165304,-8.699510789009384,-11.771591001949533
61,12.34540795407423,-8.736750244421808,15.124149641745937,11.006987974671324
62,22.03180496419413,-19.372794020239553,29.33778413805171,33.57783086295367
63,38.55565868733967,-20.702299492216813,43.76212998792531,55.487951746614115
64,56.40901788246253,-31.33834326803472,64.52959830379508,76.30148158092278
65,69.51414324909528,-37.22615321536253,78.85431246843375,95.5550461033713
66,82.23940990944877,-37.606011921641716,90.42971123975238,112.70787656463227
67,104.08128552050316,-40.07509351245649,111.5299382033032,127.26641922218272
68,114.14754123690223,-32.09806068059299,118.57464598254268,138.78848211015892
69,113.9576118837626,-24.880745261288176,116.64213985951811,146.8832350393564
70,125.54330242527841,-11.205831835236898,126.0424192522681,151.2335162969876
71,126.11309048469735,10.256185069538823,126.52944686428567,151.67892700209623
72,121.74471536248636,22.601593023613,123.8249075343804,148.17079295415903
73,122.3145034219052,29.249120383498923,125.76306608283559,140.8196097196148
74,101.99206263596756,30.768555208615847,106.5320835728128,129.89959397743712
75,77.30124672781885,32.47791938687241,83.84687229333785,115.84868351913464
76,75.0220944901439,40.64488157187543,85.3247974488065,99.19886178220179
77,53.18021887908929,33.427566152570265,62.81351653037988,80.38235249315964
78,35.13693033082652,25.260603967567366,43.274726872386346,59.86836658589963
79,29.439049736638747,16.523853723145503,33.759374864772,38.130846064230106
80,4.368375122210851,3.0388696502336945,5.321412402686162,15.646021403801353
81,-8.546820891282232,-7.597174125584085,-11.435261345596905,-7.1076431916021585
82,-17.093641782564323,-11.775619894655573,-20.75711476323328,-29.71418606947139
83,-35.51678903710596,-22.791522376752503,-42.200661081981885,-51.76050838791606
84,-51.66078405397233,-34.75707162454755,-62.26468209976736,-72.77705883326124
85,-65.33569748002375,-33.23763679943083,-73.3041190194116,-92.28887938456788
86,-75.59188254956251,-32.287990033732775,-82.198826073158,-109.81560531363274
87,-92.68552433212702,-28.489402970940635,-96.96521284647372,-124.87146518498858
88,-107.12015517073702,-25.450533320706977,-110.10203127150376,-136.9691259116031
