Frame,Total Acceleration (cm/s^2),Predicted Acceleration (cm/s^2),Error(cm/s^2)
41.0,-488.24112275370436,-680.4526275536498,192.21150479994543
42.0,-558.4762880472182,-665.5580795034839,107.0817914562657
43.0,-693.3864913629724,-637.1967721639552,56.18971919901719
44.0,-578.6714084283764,-594.7428029144859,16.07139448610951
45.0,-394.0698771152258,-537.637768378026,143.56789126280017
46.0,-211.99759833363427,-465.5593400094929,253.56174167585866
47.0,-267.60428775854865,-378.9332711736105,111.32898341506183
48.0,-421.2025484216555,-279.20385319354483,141.99869522811065
49.0,-316.31302542322976,-168.9845298686883,147.32849555454146
50.0,85.83923486282464,-52.04879722440453,137.88803208722916
51.0,161.6258649383533,66.91062704968249,94.7152378886708
52.0,171.8913470245365,183.1648193661083,11.273472341571818
53.0,228.84287879977975,292.240679393704,63.397800593924245
54.0,250.60121326383762,390.4757394141569,139.8745261503193
55.0,359.0965137460228,475.370012508281,116.27349876225816
56.0,555.5088761186324,545.5751656204766,9.933710498155847
57.0,597.7945290962367,600.7024455244886,2.9079164282518377
58.0,327.7115171962285,641.1307215183793,313.41920432215085
59.0,549.8494981603498,667.6368559619782,117.78735780162845
60.0,819.56146908659,680.8007158013958,138.76075328519426
61.0,562.7440121247118,680.9874860553631,118.24347393065125
62.0,389.39184037311185,668.2157239399893,278.82388356687744
63.0,544.0986802782402,642.1574971985627,98.05881692032256
64.0,548.6981514381608,602.23526796854,53.537116530379194
65.0,348.3188602562647,547.7215630177508,199.40270276148607
66.0,518.0074656023365,478.19917110903873,39.80829449329781
67.0,468.074524465621,393.9392589497724,74.13526551584857
68.0,13.202261379842213,296.2293592918136,283.0270979119714
69.0,111.7720179708624,187.59082071466148,75.81880274379908
70.0,184.48072808841712,71.70961388541568,112.77111420300145
71.0,-67.10171528325739,-47.05248153156932,20.04923375168807
72.0,33.42290318843336,-163.87577128173953,197.2986744701729
73.0,-238.96900567846865,-274.26042198238713,35.29141630391848
74.0,-741.51184917513,-374.44654149324344,367.06530768188657
75.0,-266.5699017037563,-461.6604171800817,195.09051547632544
76.0,-262.32499245320463,-534.3095140939821,271.9845216407775
77.0,-715.2408188517979,-592.0019741604441,123.23884469135385
78.0,-380.78589653281665,-634.9283815652436,254.14248503242698
79.0,-573.0102460328247,-663.7014066072614,90.69116057443671
80.0,-743.2500518971949,-679.0173132511896,64.23273864600526
81.0,-331.41937816501553,-681.3930701858948,349.97369202087924
82.0,-446.0048759897554,-671.0141751723222,225.0092991825668
83.0,-674.9678632557997,-647.4880916810251,27.47977157477453
84.0,-468.11025149537704,-610.0881455115949,141.97789401621787
85.0,-261.5733384365555,-558.0707784997747,296.49744006321924
86.0,-353.36080603157444,-490.9938438207716,137.63303778919715
87.0,-451.9767730617854,-409.0899541742787,42.886818887506706
88.0,-290.73990000127793,-313.6061800776297,22.866280076351757
89.0,-63.87277508925388,-206.74801250799962,142.87523741874574
90.0,125.22388964156167,-91.930289715133,217.15417935669467
91.0,2.6073127832316425,26.561142117693212,23.95382933446157
92.0,-77.14473496966063,144.04259609474855,221.1873310644092
93.0,255.40672363388205,255.8751091751247,0.46838554124263965
94.0,452.9671426919045,357.9722862575068,94.99485643439766
95.0,484.83159114390793,447.5121015627257,37.31948958118221
96.0,367.89304944636365,522.7218611442455,154.82881169788186
97.0,299.8041233454165,582.9228656773239,283.1187423319074
98.0,424.2275917357852,628.2706444251534,204.04305268936815
99.0,500.7657790021853,659.3933821853349,158.62760318314957
100.0,696.4444668599526,677.0914405082683,19.35302635168432
101.0,646.1408389749879,681.8443422337718,35.70350325878394
102.0,373.83440660842945,673.6919934491102,299.85758684068077
103.0,401.7155203934472,652.3282811055111,250.6127607120639
104.0,478.00446914621233,617.1766865294745,139.1722173832622
105.0,509.8760892634781,567.5998126189745,57.72372335549642
106.0,347.904326163209,503.19730178687365,155.29297562366463
107.0,195.96212181692022,423.9668611843254,228.0047393674052
108.0,259.72909338080683,330.82462352285677,71.09553014204994
109.0,29.89018313617077,225.7877227682408,195.89753963207002
110.0,19.721397545970433,112.01059738319503,92.2891998372246
111.0,161.41232933752576,-6.331287470598492,167.74361680812424
112.0,-141.38571318381742,-124.35801438292707,17.02769880089035
