Frame,Time (s),Acceleration (cm/s^2),Velocity (cm/s)
88,2.9355555555555553,-313.6061800776297,-136.9691259116031
89,2.968914141414141,-206.74801250799962,-145.70693582882413
90,3.002272727272727,-91.930289715133,-150.7295738446901
91,3.035631313131313,26.561142117693212,-151.8184500883205
92,3.0689898989898987,144.04259609474855,-148.93130591165595
93,3.1023484848484846,255.8751091751247,-142.20221388945833
94,3.1357070707070704,357.9722862575068,-131.92843542094414
95,3.1690656565656563,447.5121015627257,-118.46964857602731
96,3.202424242424242,522.7218611442455,-102.24979409834937
97,3.235782828282828,582.9228656773239,-83.73462030062872
98,3.269141414141414,628.2706444251534,-63.42659965417457
99,3.3024999999999998,659.3933821853349,-41.864928788886814
100,3.3358585858585856,677.0914405082683,-19.543500954240674
101,3.3692171717171715,681.8443422337718,3.1558050351223064
102,3.4025757575757574,673.6919934491102,25.81273324837402
103,3.4359343434343432,652.3282811055111,47.98795519410751
104,3.469292929292929,617.1766865294745,69.22309994285851
105,3.502651515151515,567.5998126189745,89.0407541271053
106,3.536010101010101,503.19730178687365,106.95356889396757
107,3.5693686868686867,423.9668611843254,122.51048477311174
108,3.6027272727272726,330.82462352285677,135.16510641336797
109,3.6360858585858584,225.7877227682408,144.46174006151915
110,3.6694444444444443,112.01059738319503,150.0764741764564
111,3.70280303030303,-6.331287470598492,151.81717942917882
112,3.736161616161616,-124.35801438292707,149.62372610991497
113,3.769520202020202,-237.3895386338652,143.59614101764222
